"issue","subject","company","status","product_area","response","justification","request_type"
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
","Claude access lost","Claude","escalated","connectors","Thank you for reaching out. Your request involves a sensitive or complex matter that requires direct human assistance. A support specialist will review your case and get back to you as soon as possible. Please do not share additional sensitive information in follow-up messages.","Escalated: Account access restoration request. Requires human review.","product_issue"
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.","Test Score Dispute","HackerRank","escalated","screen","Thank you for reaching out. Your request involves a sensitive or complex matter that requires direct human assistance. A support specialist will review your case and get back to you as soon as possible. Please do not share additional sensitive information in follow-up messages.","Escalated: Answer review request. Requires human review.","product_issue"
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
","Help","Visa","escalated","general_support","Thank you for reaching out. Your request involves a sensitive or complex matter that requires direct human assistance. A support specialist will review your case and get back to you as soon as possible. Please do not share additional sensitive information in follow-up messages.","Escalated: Urgent refund request. Requires human review.","product_issue"
"My mock interviews stopped in between, please give me the refund asap","Why are my mock interviews not working","HackerRank","escalated","community","Thank you for reaching out. Your request involves a sensitive or complex matter that requires direct human assistance. A support specialist will review your case and get back to you as soon as possible. Please do not share additional sensitive information in follow-up messages.","Escalated: Urgent refund request. Requires human review.","bug"
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
","Give me my money","HackerRank","escalated","settings","Thank you for reaching out. Your request involves a sensitive or complex matter that requires direct human assistance. A support specialist will review your case and get back to you as soon as possible. Please do not share additional sensitive information in follow-up messages.","Escalated: Refund demand. Requires human review.","product_issue"
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms","Using HackerRank for hiring","HackerRank","replied","community","Based on our support documentation:

---
title: ""Set Up HackerRank QuickApply""
title_slug: ""set-up-hackerrank-quickapply""
source_url: ""https://help.hackerrank.com/articles/7358354033-set-up-quick-apply""
article_slug: ""7358354033-set-up-quick-apply""
last_updated_exact: ""Mar 10, 2025, 12:59 PM""
last_updated_relative: ""Last updated 1 year ago""
breadcrumbs:
  - ""Additional Resources""
  - ""Job Search and Applications""
---

# Set Up HackerRank QuickApply

_Last updated: Mar 10, 2025, 12:59 PM (Last updated 1 year ago)_

HackerRank QuickApply is a free browser extension that simplifies the job application process by automatically filling application forms using information from your HackerRank profile.

QuickApply extracts key details from your HackerRank profile, such as personal information, work experience, education, and skills, to populate job application forms automatically. It currently supports applications powered by the following Applicant Tracking Systems (ATSs):

- Avature

- Greenhouse

- Oracle

- SmartRecruiters

- Workable

- Workday

You can set up QuickApply using the Chrome extension or from the HackerRank Community site.

## Setting up QuickApply from the Chrome Web Store

To set up QuickApply using the Chrome Web Store:

1.  Open the **Chrome Web Store** and search for [HackerRank QuickApply](https://chromewebstore.google.com/detail/hackerrank-quickapply/mmlghgaenodejbokcogohcjelnogcckl?hl=en) extension.

2.  Click **Add to Chrome**.

3.  Click **Add Extension** when prompted and wait for the exten

For further assistance, please contact the official support team.","LLM unavailable (All LLM providers failed. Last: HTTP Error 429: Too Many Requests). Response generated from top corpus excerpt: hackerrank\hackerrank_community\additional-resources\job-search-and-applications\7358354033-set-up-quick-apply.md.","product_issue"
"i can not able to see apply tab
","I need to practice, submissions not working","HackerRank","replied","skillup","Based on our support documentation:

---
title: ""Weekly Challenges Accessing weekly challenges Leaderboard Evaluating weekly challenges Available weekly challenges""
title_slug: ""weekly-challenges-accessing-weekly-challenges-leaderboard-evaluating-weekly-challenges-available-weekly-challenges""
source_url: ""https://support.hackerrank.com/articles/7992263058-weekly-challenges""
article_slug: ""7992263058-weekly-challenges""
last_updated_exact: ""Jan 28, 2026, 10:08 AM""
last_updated_relative: ""Last updated 3 months ago""
breadcrumbs:
  - ""SkillUp""
  - ""Getting Started""
---

# Weekly Challenges Accessing weekly challenges Leaderboard Evaluating weekly challenges Available weekly challenges

_Last updated: Jan 28, 2026, 10:08 AM (Last updated 3 months ago)_

Weekly Challenges are short, repeatable activities that enable users to apply skills in a focused and time-efficient manner. They complement SkillUp learning paths and certifications by offering ongoing practice rather than long-form coursework.

Weekly Challenges support the following objectives:

- Provide structured opportunities for continued learning after completing badges or certifications

- Encourage consistent participation through a predictable weekly cadence

- Introduce a controlled competitive element within an organization

**Note:** A new challenge releases every week. Challenges and leaderboards reset every Tuesday at 6:00 PM UTC. 

# Accessing weekly challenges

To access the weekly challenge: 

1.  Log in to your **SkillUp** account using your creden

For further assistance, please contact the official support team.","LLM unavailable (All LLM providers failed. Last: HTTP Error 429: Too Many Requests). Response generated from top corpus excerpt: hackerrank\skillup\getting-started\7992263058-weekly-challenges.md.","bug"
"none of the submissions across any challenges are working on your website","Issue while taking the test","HackerRank","replied","skillup","Based on our support documentation:

---
title: ""Weekly Challenges Accessing weekly challenges Leaderboard Evaluating weekly challenges Available weekly challenges""
title_slug: ""weekly-challenges-accessing-weekly-challenges-leaderboard-evaluating-weekly-challenges-available-weekly-challenges""
source_url: ""https://support.hackerrank.com/articles/7992263058-weekly-challenges""
article_slug: ""7992263058-weekly-challenges""
last_updated_exact: ""Jan 28, 2026, 10:08 AM""
last_updated_relative: ""Last updated 3 months ago""
breadcrumbs:
  - ""SkillUp""
  - ""Getting Started""
---

# Weekly Challenges Accessing weekly challenges Leaderboard Evaluating weekly challenges Available weekly challenges

_Last updated: Jan 28, 2026, 10:08 AM (Last updated 3 months ago)_

Weekly Challenges are short, repeatable activities that enable users to apply skills in a focused and time-efficient manner. They complement SkillUp learning paths and certifications by offering ongoing practice rather than long-form coursework.

Weekly Challenges support the following objectives:

- Provide structured opportunities for continued learning after completing badges or certifications

- Encourage consistent participation through a predictable weekly cadence

- Introduce a controlled competitive element within an organization

**Note:** A new challenge releases every week. Challenges and leaderboards reset every Tuesday at 6:00 PM UTC. 

# Accessing weekly challenges

To access the weekly challenge: 

1.  Log in to your **SkillUp** account using your creden

For further assistance, please contact the official support team.","LLM unavailable (All LLM providers failed. Last: HTTP Error 429: Too Many Requests). Response generated from top corpus excerpt: hackerrank\skillup\getting-started\7992263058-weekly-challenges.md.","product_issue"
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error","I am facing an blocker while doing compatible check","HackerRank","replied","integrations","Based on our support documentation:

---
title: ""Greenhouse-HackerRank Integration FAQs API Token and Access Tests and Interviews Common Troubleshooting""
title_slug: ""greenhouse-hackerrank-integration-faqs-api-token-and-access-tests-and-interviews-common-troubleshooting""
source_url: ""https://support.hackerrank.com/articles/3678461564-greenhouse-hackerrank-integration-faqs""
article_slug: ""3678461564-greenhouse-hackerrank-integration-faqs""
last_updated_exact: ""Aug 1, 2025, 2:57 PM""
last_updated_relative: ""Last updated 9 months ago""
breadcrumbs:
  - ""Integrations""
  - ""Applicant Tracking Systems""
  - ""Greenhouse""
---

# Greenhouse-HackerRank Integration FAQs API Token and Access Tests and Interviews Common Troubleshooting

_Last updated: Aug 1, 2025, 2:57 PM (Last updated 9 months ago)_

This article provides FAQs and troubleshooting steps for common issues encountered while enabling and using the integration.

# API Token and Access

**Why can't I view the API keys in my HackerRank for Work account?**

You must log in to **HackerRank for Work** with a **Recruiter-type** **Company Admin** user account to view the API access page and generate the Greenhouse API key.

Refer to the **Prerequisites** section in the <span data-name=""page_facing_up"" data-type=""emoji"" contenteditable=""false"">📄</span> [Greenhouse - HackerRank Integration Configuration Guide.](https://support.hackerrank.com/articles/1406188460)

**How do I reset my Greenhouse API key in HackerRank for Work?**

1.  Log in to **HackerRank for Work** using the

For further assistance, please contact the official support team.","LLM unavailable (All LLM providers failed. Last: HTTP Error 429: Too Many Requests). Response generated from top corpus excerpt: hackerrank\integrations\applicant-tracking-systems\greenhouse\3678461564-greenhouse-hackerrank-integration-faqs.md.","bug"
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.","","HackerRank","replied","screen","Based on our support documentation:

---
title: ""Mitigating Candidate Drop-Off""
title_slug: ""mitigating-candidate-drop-off""
source_url: ""https://support.hackerrank.com/articles/5269412517-mitigating-candidate-drop-off""
article_slug: ""5269412517-mitigating-candidate-drop-off""
last_updated_exact: ""Dec 24, 2024, 4:51 PM""
last_updated_relative: ""Last updated 1 year ago""
breadcrumbs:
  - ""Screen""
  - ""Best Practice Guides""
---

# Mitigating Candidate Drop-Off

_Last updated: Dec 24, 2024, 4:51 PM (Last updated 1 year ago)_

## **Overview**

In today’s candidate market, hiring teams are struggling with the disinterest candidates have in taking an assessment during the recruitment and hiring process. There are various reasons for this disinterest, including those driven by candidates, customers, or HackerRank, and we’ve tried to address most of them in this document.

Here are some best practices to mitigate the candidate drop-off at various stages of the hiring funnel.

**Best practices to mitigate test invite drop-off\
(Entry and Junior levels)**
--------------------------------------------------

- Ensure recruiters build out a detailed and exciting candidate invite [email template](https://support.hackerrank.com/hc/en-us/articles/360010817373-Creating-an-Email-Template) talking about company culture, team, interview process, and next steps.

- Ensure recruiters set clear [test instructions](https://support.hackerrank.com/hc/en-us/articles/360000109287-Modifying-Candidate-Settings-for-Tests#candidate-details) about 

For further assistance, please contact the official support team.","LLM unavailable (All LLM providers failed. Last: HTTP Error 429: Too Many Requests). Response generated from top corpus excerpt: hackerrank\screen\best-practice-guides\5269412517-mitigating-candidate-drop-off.md.","product_issue"
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?
","Candidate inactivity help","HackerRank","replied","interviews","Based on our support documentation:

---
title: ""Using Virtual Lobby in HackerRank Interviews""
title_slug: ""using-virtual-lobby-in-hackerrank-interviews""
source_url: ""https://support.hackerrank.com/articles/1151935613-using-virtual-lobby-in-hackerrank-interviews""
article_slug: ""1151935613-using-virtual-lobby-in-hackerrank-interviews""
last_updated_exact: ""Dec 24, 2024, 7:31 AM""
last_updated_relative: ""Last updated 1 year ago""
breadcrumbs:
  - ""Interviews""
  - ""Interview Settings""
---

# Using Virtual Lobby in HackerRank Interviews

_Last updated: Dec 24, 2024, 7:31 AM (Last updated 1 year ago)_

## Overview

Did you know that you can use a single interview link for doing multiple interviews with the candidate? Many users are already using it and it has saved a lot of time.

*Here is how :*

Scheduling HackerRank interviews with candidates and multiple interviewers using a single interview link has helped recruiters save a big chunk of their time. The single interview link has also resulted in a better candidate experience as they can remain in the same link throughout the onsite interview process instead of juggling multiple links for each interview.\
\

With multiple interviews happening using a single link, it becomes essential to ensure that the participants inside the interview are not disturbed by the sudden appearance of others. With this in mind, we have introduced the concept of the **virtual lobby** for HackerRank interviews. 

### Enabling Virtual Lobby

The virtual lobby will not be enabled for your ac

For further assistance, please contact the official support team.","LLM unavailable (All LLM providers failed. Last: HTTP Error 429: Too Many Requests). Response generated from top corpus excerpt: hackerrank\interviews\interview-settings\1151935613-using-virtual-lobby-in-hackerrank-interviews.md.","product_issue"
"it’s not working, help","Help needed","None","replied","claude_general","Based on our support documentation:

---
title: ""Retrieval augmented generation (RAG) for projects""
title_slug: ""retrieval-augmented-generation-rag-for-projects""
source_url: ""https://support.claude.com/en/articles/11473015-retrieval-augmented-generation-rag-for-projects""
last_updated_iso: ""2026-03-16T21:03:43Z""
article_id: ""12444697""
breadcrumbs:
  - ""Claude""
  - ""Features and capabilities""
---

# Retrieval augmented generation (RAG) for projects

_Last updated: 2026-03-16T21:03:43Z_

> RAG for projects is available for all Claude plans (free, Pro, Max, Team, and Enterprise).

Projects can now handle much more content without running into limits, giving Claude better context to help you. As you add more files and information to your projects, Claude automatically switches to a faster mode (powered by RAG) that keeps response times quick while maintaining quality responses.

## What is RAG for projects?

RAG or retrieval augmented generation is a technology that allows your projects to store and access significantly more knowledge than before. When your project knowledge approaches the context window limit, Claude will automatically enable RAG mode to expand your project's capacity by up to 10x while maintaining quality responses.

Previously, projects had a knowledge capacity limit based on the **[context window](https://support.claude.com/en/articles/8606394-how-large-is-the-context-window-on-paid-claude-plans)**. Once you reached this threshold, it wasn't possible to add more content. With RAG, you can continu

For further assistance, please contact the official support team.","LLM unavailable (All LLM providers failed. Last: HTTP Error 429: Too Many Requests). Response generated from top corpus excerpt: claude\claude\features-and-capabilities\11473015-retrieval-augmented-generation-rag-for-projects.md.","bug"
"Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name. 
Can you let me know how to do this?","How to Remove a User","HackerRank","escalated","interviews","Thank you for reaching out. Your request involves a sensitive or complex matter that requires direct human assistance. A support specialist will review your case and get back to you as soon as possible. Please do not share additional sensitive information in follow-up messages.","Escalated: User removal request. Requires human review.","product_issue"
"Hi, please pause our subscription. We have stopped all hiring efforts for now.
","Subscription pause","HackerRank","escalated","settings","Thank you for reaching out. Your request involves a sensitive or complex matter that requires direct human assistance. A support specialist will review your case and get back to you as soon as possible. Please do not share additional sensitive information in follow-up messages.","Escalated: Subscription pause request. Requires human review.","product_issue"
